ITEST_id,AveKnow,AveCarelessness,AveCorrect,AveResBored,AveResEngcon,AveResConf,AveResFrust,AveResOfftask,AveResGaming
1185,0.139639,0.073041,0.334975,0.285347,0.621804,0.134770,0.071870,0.293806,0.080789
1200,0.428217,0.206472,0.622328,0.300076,0.591767,0.068088,0.168618,0.315154,0.008738
1202,0.153649,0.096488,0.314685,0.222714,0.671224,0.074094,0.112618,0.163596,0.314370
1203,0.203324,0.108907,0.442907,0.254045,0.675430,0.135405,0.139763,0.206802,0.045561
1208,0.162220,0.105165,0.322669,0.225793,0.661177,0.079597,0.150134,0.145218,0.226247
1229,0.139151,0.083996,0.345898,0.219284,0.675638,0.138901,0.083667,0.167258,0.160825
1231,0.235495,0.123949,0.441774,0.261770,0.619028,0.113578,0.154863,0.177542,0.056382
1232,0.123439,0.082324,0.383260,0.281492,0.623452,0.230150,0.148680,0.273823,0.072179
1234,0.355922,0.136591,0.643750,0.268796,0.649294,0.114448,0.028779,0.258803,0.004058
1237,0.136387,0.084205,0.296524,0.272828,0.642916,0.117162,0.124412,0.210713,0.082914
1238,0.129911,0.082697,0.307947,0.253901,0.647996,0.133010,0.069918,0.196558,0.146092
124,0.108133,0.082321,0.322684,0.268996,0.644955,0.165484,0.061079,0.217668,0.025588
1240,0.119941,0.076751,0.318400,0.222135,0.662036,0.079738,0.135921,0.159916,0.312025
1241,0.322294,0.127148,0.509146,0.252988,0.642203,0.083260,0.122636,0.223410,0.069714
125,0.058089,0.050379,0.319838,0.288641,0.619650,0.184630,0.156196,0.251109,0.030575
1250,0.180591,0.099255,0.362348,0.247217,0.641561,0.114226,0.187755,0.185857,0.139274
1256,0.134346,0.072727,0.373950,0.269492,0.666347,0.090455,0.067656,0.193587,0.081429
1257,0.152330,0.084978,0.333333,0.296515,0.652119,0.180313,0.098221,0.252100,0.019646
1259,0.260951,0.128804,0.548673,0.288873,0.621956,0.158586,0.048717,0.321741,0.004887
126,0.250838,0.111159,0.500000,0.273188,0.646944,0.104602,0.131632,0.230005,0.040233
1260,0.151144,0.081351,0.379501,0.271888,0.656680,0.151050,0.177156,0.184211,0.012701
1266,0.336572,0.169329,0.578947,0.259884,0.652281,0.145704,0.060074,0.236472,0.014659
1272,0.195821,0.110500,0.457143,0.264164,0.652562,0.107999,0.197231,0.216679,0.043814
1277,0.269804,0.084272,0.672727,0.308068,0.596486,0.063117,0.041895,0.472210,0.005347
1282,0.072507,0.069495,0.302326,0.314335,0.596069,0.177229,0.086356,0.410457,0.056182
1287,0.130726,0.095792,0.276596,0.209049,0.656269,0.138162,0.140562,0.119336,0.225970
129,0.214835,0.112077,0.444656,0.254312,0.644452,0.084629,0.137295,0.205012,0.101659
1294,0.251887,0.159180,0.354067,0.231376,0.662815,0.100777,0.151090,0.147609,0.127026
1295,0.134642,0.100380,0.353191,0.286583,0.625389,0.132554,0.231188,0.261217,0.043329
1301,0.093135,0.050422,0.337719,0.309195,0.607986,0.144488,0.155311,0.261549,0.006596
1305,0.207459,0.128230,0.396396,0.244073,0.657117,0.104299,0.110147,0.204144,0.082209
1309,0.072397,0.034056,0.403974,0.295260,0.671317,0.152408,0.049812,0.355351,0.129961
131,0.248389,0.142274,0.544379,0.290521,0.639280,0.079422,0.241072,0.310722,0.020833
1313,0.080016,0.047184,0.253036,0.202508,0.672965,0.049311,0.112479,0.122114,0.375754
1317,0.104579,0.071130,0.280645,0.208276,0.669657,0.078986,0.115998,0.122692,0.331334
132,0.249502,0.138376,0.500000,0.269245,0.657857,0.158727,0.146804,0.229159,0.012235
1320,0.161130,0.067104,0.401042,0.296891,0.629779,0.179660,0.069325,0.316583,0.039177
1337,0.155656,0.088789,0.373016,0.293385,0.582205,0.144461,0.112101,0.314391,0.091316
1338,0.165858,0.105048,0.327010,0.215552,0.667920,0.078996,0.171678,0.136021,0.303253
134,0.183801,0.113211,0.323420,0.267901,0.612556,0.133687,0.088761,0.238335,0.062208
1345,0.049320,0.043868,0.115385,0.375460,0.503570,0.160106,0.125350,0.751427,0.007437
1348,0.136629,0.096085,0.279601,0.193186,0.693538,0.068273,0.140584,0.109917,0.486378
1350,0.351891,0.194482,0.480000,0.223166,0.681338,0.068752,0.204163,0.157481,0.102701
1362,0.386290,0.202197,0.524345,0.219716,0.695088,0.094792,0.124844,0.163474,0.120325
1364,0.276100,0.150937,0.475382,0.247166,0.651408,0.101102,0.106493,0.199267,0.072615
1371,0.194967,0.101380,0.376448,0.289305,0.633918,0.147455,0.150582,0.201679,0.020605
1372,0.410331,0.195081,0.653333,0.277311,0.652096,0.091123,0.044301,0.288529,0.006026
1374,0.240776,0.159027,0.412234,0.248364,0.642317,0.108023,0.224271,0.207421,0.035997
1375,0.319485,0.184094,0.390706,0.235330,0.619101,0.138739,0.114089,0.173987,0.141712
1380,0.141858,0.083758,0.311140,0.219207,0.663226,0.071585,0.133053,0.154411,0.258820
1394,0.289496,0.171698,0.385269,0.191130,0.706682,0.082456,0.147456,0.113941,0.271410
1404,0.159285,0.097356,0.296937,0.245746,0.626188,0.114504,0.172972,0.167939,0.141408
1408,0.142578,0.087179,0.351582,0.197591,0.676801,0.084857,0.133952,0.120202,0.347108
1414,0.102821,0.079205,0.347692,0.254742,0.670267,0.165144,0.119706,0.179966,0.076123
1417,0.177828,0.087722,0.423077,0.290882,0.620887,0.106159,0.121848,0.281970,0.044298
1437,0.161145,0.091926,0.393939,0.258474,0.591302,0.069380,0.177164,0.293372,0.099911
1438,0.313441,0.196707,0.380881,0.232631,0.659113,0.116517,0.133176,0.148691,0.087863
1439,0.088386,0.057891,0.253012,0.199763,0.667644,0.098073,0.154273,0.113112,0.376730
1450,0.154630,0.095356,0.326954,0.193008,0.684874,0.077207,0.107533,0.111033,0.322789
1456,0.054041,0.035061,0.335570,0.253316,0.636190,0.184103,0.242579,0.261415,0.064885
1459,0.231135,0.121148,0.462500,0.236538,0.655453,0.100866,0.097563,0.177075,0.035715
1460,0.130435,0.092972,0.379928,0.235425,0.634664,0.071105,0.189347,0.142050,0.100290
1462,0.179887,0.123457,0.282511,0.313970,0.579291,0.116512,0.155631,0.331611,0.054884
1469,0.092472,0.041513,0.267857,0.210599,0.657958,0.057769,0.124929,0.160975,0.490475
1470,0.279471,0.087386,0.545455,0.282970,0.638407,0.113245,0.038941,0.276587,0.005595
1481,0.141975,0.087655,0.406780,0.295744,0.633130,0.092515,0.299283,0.264788,0.056068
1483,0.081488,0.045742,0.241413,0.183986,0.721827,0.044810,0.109494,0.089798,0.487580
1494,0.272661,0.127894,0.512397,0.220921,0.665079,0.091918,0.171043,0.141661,0.042078
1518,0.333547,0.173369,0.477341,0.231004,0.664776,0.125840,0.110222,0.163849,0.051910
1527,0.198412,0.118970,0.326230,0.240988,0.653568,0.115726,0.153806,0.184970,0.181178
1534,0.109743,0.068760,0.379562,0.264905,0.621385,0.173428,0.099995,0.195288,0.036192
1538,0.377385,0.198540,0.544622,0.269169,0.643911,0.123420,0.079039,0.241416,0.013922
1539,0.098191,0.054870,0.335766,0.284210,0.648016,0.114050,0.079679,0.199350,0.015072
154,0.146524,0.084286,0.344828,0.322649,0.617289,0.201429,0.114430,0.410197,0.006764
1548,0.207616,0.116100,0.338983,0.287305,0.626468,0.084009,0.107871,0.227662,0.051892
1551,0.404826,0.226294,0.558676,0.245131,0.642060,0.081852,0.208114,0.168404,0.014945
1553,0.219845,0.125055,0.467249,0.290273,0.611422,0.093071,0.147947,0.347437,0.033389
1557,0.088279,0.060504,0.302372,0.228421,0.657178,0.110176,0.135103,0.170160,0.247853
156,0.271432,0.183643,0.384766,0.255130,0.637416,0.134121,0.110669,0.208373,0.052069
1565,0.680767,0.358089,0.775309,0.216235,0.681798,0.037817,0.061689,0.189958,0.060940
1567,0.344493,0.177699,0.449871,0.208472,0.688766,0.068984,0.159357,0.139411,0.296228
1568,0.087944,0.061136,0.274194,0.339298,0.567292,0.144223,0.104974,0.471129,0.002272
1570,0.095558,0.061615,0.301802,0.206452,0.671592,0.059617,0.077601,0.156362,0.396465
1572,0.275502,0.166378,0.428919,0.212324,0.685579,0.057944,0.114320,0.150052,0.225156
1574,0.148675,0.087730,0.302168,0.218358,0.683138,0.078368,0.158137,0.192387,0.377018
1575,0.094313,0.061630,0.320675,0.281903,0.618729,0.127939,0.155108,0.288513,0.024811
1576,0.285505,0.172917,0.386330,0.230709,0.664398,0.126508,0.135730,0.183823,0.148873
1583,0.483334,0.213530,0.606811,0.235718,0.646648,0.109826,0.061358,0.205878,0.059851
1586,0.337368,0.200038,0.466777,0.252201,0.646954,0.128158,0.133612,0.228564,0.140303
1590,0.218130,0.105617,0.462203,0.265240,0.643784,0.097517,0.090679,0.229118,0.095334
1598,0.631904,0.336137,0.767500,0.229348,0.670075,0.063133,0.043195,0.204148,0.016689
1599,0.321614,0.189133,0.434783,0.246572,0.625531,0.160816,0.151112,0.168412,0.059340
160,0.222439,0.146000,0.387009,0.234373,0.647306,0.106632,0.100563,0.139646,0.096695
1607,0.330131,0.180018,0.452830,0.257896,0.654115,0.128058,0.119238,0.185330,0.030211
161,0.301437,0.145797,0.483425,0.262823,0.618728,0.103445,0.048144,0.211666,0.134778
1621,0.462434,0.201503,0.664336,0.244676,0.683811,0.079189,0.043999,0.209936,0.003949
1622,0.140702,0.094283,0.386161,0.265677,0.630544,0.131801,0.138782,0.212578,0.056594
1627,0.330256,0.168137,0.496269,0.263712,0.629611,0.119558,0.228097,0.202369,0.024996
1631,0.175500,0.079215,0.386703,0.219723,0.667755,0.062960,0.147527,0.155727,0.400623
1635,0.093936,0.044150,0.343750,0.320934,0.614329,0.235942,0.240682,0.417825,0.004204
164,0.117598,0.081440,0.256983,0.252204,0.597314,0.135032,0.105664,0.243513,0.214158
1648,0.181545,0.113965,0.349345,0.273788,0.627240,0.110284,0.127033,0.282797,0.099972
1649,0.133362,0.082463,0.284078,0.217874,0.673234,0.107083,0.177566,0.140791,0.280208
1657,0.118427,0.079806,0.215228,0.220996,0.668813,0.076928,0.113612,0.126382,0.230937
1658,0.139753,0.094952,0.371608,0.294452,0.640797,0.135189,0.091843,0.263450,0.024122
1660,0.288041,0.152110,0.425101,0.211287,0.661305,0.072753,0.115859,0.141808,0.220017
1667,0.136111,0.056114,0.333333,0.382656,0.457365,0.121247,0.125843,0.647863,0.015679
1668,0.127970,0.077682,0.304455,0.245783,0.627042,0.110720,0.089746,0.163261,0.140038
1670,0.098336,0.080490,0.301370,0.242679,0.629747,0.158745,0.128054,0.219042,0.133610
1672,0.423784,0.213783,0.561644,0.264571,0.653085,0.086258,0.165313,0.253052,0.014609
1684,0.185898,0.105387,0.458333,0.294985,0.584201,0.139023,0.188244,0.323167,0.008591
1701,0.151492,0.106663,0.316151,0.289617,0.603965,0.193805,0.099097,0.215415,0.055090
1704,0.100269,0.042714,0.293139,0.215741,0.639373,0.084140,0.139866,0.137579,0.310372
1707,0.120097,0.079643,0.356522,0.273601,0.659907,0.064714,0.183940,0.255614,0.051799
1708,0.377730,0.212521,0.555024,0.233957,0.651561,0.064781,0.193227,0.177245,0.143244
1720,0.344272,0.173483,0.539286,0.302831,0.634025,0.128510,0.139576,0.291067,0.008746
1723,0.213649,0.096300,0.417989,0.303881,0.660758,0.122419,0.096326,0.305603,0.020372
1726,0.096955,0.062977,0.277302,0.209253,0.681243,0.059864,0.116931,0.129532,0.404841
1735,0.369074,0.222291,0.507361,0.229296,0.678144,0.135122,0.135962,0.143040,0.047129
1750,0.300258,0.121269,0.509434,0.288721,0.617441,0.098040,0.031018,0.356015,0.037613
1751,0.085354,0.055901,0.212750,0.195034,0.654376,0.069994,0.128790,0.103816,0.342679
1752,0.064752,0.042808,0.273927,0.248690,0.586263,0.084076,0.169253,0.238392,0.309954
1755,0.084889,0.050763,0.352273,0.261955,0.631913,0.107558,0.114508,0.262413,0.179024
176,0.318761,0.154002,0.575949,0.235391,0.645941,0.086661,0.082399,0.208176,0.014226
1762,0.255318,0.162941,0.515152,0.292717,0.627490,0.150381,0.201073,0.379177,0.004449
1764,0.096757,0.062484,0.280730,0.192419,0.708233,0.080422,0.117059,0.110961,0.426963
1765,0.381938,0.160325,0.620000,0.278406,0.674505,0.073538,0.055337,0.267872,0.006866
1771,0.071544,0.050200,0.348485,0.276020,0.641144,0.212868,0.092264,0.289831,0.080402
1776,0.161453,0.094922,0.288815,0.201155,0.675432,0.070333,0.129929,0.122338,0.379727
1779,0.165845,0.112264,0.311503,0.224168,0.655915,0.122271,0.122512,0.150126,0.194521
1781,0.388388,0.182354,0.556044,0.243408,0.652480,0.070794,0.184848,0.205858,0.067095
1788,0.120136,0.064898,0.360825,0.284112,0.627016,0.089739,0.188970,0.251051,0.050319
1800,0.271511,0.152063,0.422360,0.240113,0.654410,0.104512,0.127932,0.150587,0.072441
1813,0.129111,0.079116,0.285714,0.186878,0.706461,0.056615,0.108658,0.115580,0.445643
1818,0.059338,0.042646,0.219048,0.340104,0.543871,0.149330,0.113282,0.462312,0.042499
1821,0.222134,0.134192,0.365806,0.200943,0.682951,0.105780,0.167024,0.164533,0.319552
1823,0.124364,0.065250,0.279302,0.246991,0.628778,0.055346,0.143713,0.227644,0.405430
1824,0.426444,0.222619,0.608597,0.229176,0.679973,0.094509,0.118060,0.163816,0.012871
1825,0.078880,0.045911,0.246234,0.182954,0.709317,0.031614,0.111169,0.094281,0.490736
1826,0.121771,0.079578,0.353535,0.271593,0.637941,0.137722,0.082327,0.291483,0.172980
1849,0.140868,0.087073,0.290850,0.258451,0.595326,0.100905,0.154156,0.213626,0.151816
185,0.233430,0.106264,0.506173,0.322770,0.598738,0.170944,0.056997,0.364482,0.005053
1850,0.176362,0.082743,0.452632,0.303407,0.602650,0.182276,0.056928,0.319992,0.006451
1851,0.125945,0.093980,0.388889,0.302265,0.633700,0.157334,0.081578,0.319229,0.005031
1855,0.414360,0.191935,0.625430,0.272660,0.632523,0.086988,0.088054,0.261761,0.006765
1857,0.282537,0.143090,0.462709,0.228195,0.665163,0.080865,0.116445,0.177468,0.109549
1858,0.541742,0.292488,0.584437,0.247346,0.653420,0.112177,0.133387,0.207357,0.031582
1866,0.137609,0.106397,0.287081,0.258416,0.625283,0.120641,0.163809,0.289637,0.101407
1867,0.128887,0.092306,0.348039,0.282818,0.626409,0.178190,0.118890,0.251408,0.032659
1868,0.061091,0.066523,0.166667,0.342808,0.484814,0.201281,0.166667,0.776413,0.003951
1877,0.213021,0.104324,0.450893,0.235121,0.659911,0.094633,0.156801,0.172085,0.033220
1879,0.458558,0.191049,0.660131,0.237673,0.692885,0.076474,0.042906,0.226686,0.003977
1881,0.276046,0.138643,0.540041,0.245931,0.676311,0.145107,0.087949,0.208767,0.021558
1884,0.074758,0.065922,0.278539,0.300129,0.641127,0.221975,0.106947,0.295400,0.002984
1892,0.044351,0.017348,0.226942,0.190450,0.687219,0.079189,0.133001,0.130239,0.601588
1896,0.056188,0.041158,0.283688,0.328555,0.614031,0.229096,0.163253,0.360420,0.019184
190,0.510754,0.235046,0.709091,0.250686,0.676984,0.072317,0.091462,0.253564,0.006532
1905,0.313137,0.177790,0.433696,0.236868,0.676791,0.103147,0.113526,0.170432,0.109028
1906,0.189108,0.079047,0.420354,0.266352,0.668155,0.067497,0.101306,0.289665,0.119348
1911,0.259811,0.141474,0.456522,0.278023,0.643879,0.073593,0.146523,0.371591,0.004361
1912,0.138302,0.090727,0.317669,0.289010,0.644307,0.104037,0.111058,0.226034,0.061292
1913,0.065747,0.056791,0.319149,0.288940,0.603721,0.195027,0.184301,0.314458,0.074231
1915,0.117115,0.075776,0.304000,0.279332,0.617727,0.120633,0.127727,0.270717,0.044904
1919,0.223285,0.102295,0.383562,0.347082,0.555325,0.084995,0.061921,0.461730,0.003377
1922,0.214952,0.139912,0.390909,0.235610,0.676344,0.109652,0.099367,0.156073,0.081462
1923,0.139693,0.097672,0.368889,0.262807,0.640482,0.114144,0.071341,0.171786,0.076185
1925,0.260620,0.145612,0.437103,0.218725,0.656205,0.079129,0.079777,0.153090,0.204338
1941,0.199288,0.121737,0.368023,0.237083,0.651012,0.122365,0.125742,0.148347,0.148797
1951,0.116263,0.080746,0.354430,0.280331,0.597650,0.116636,0.213518,0.247451,0.103721
1952,0.069978,0.042758,0.280719,0.206551,0.689911,0.092274,0.150980,0.122782,0.423259
1960,0.071760,0.044296,0.260750,0.205425,0.676696,0.050228,0.139755,0.124006,0.396134
1961,0.449094,0.253981,0.502571,0.231418,0.669906,0.086896,0.090044,0.169087,0.078854
1962,0.078768,0.074843,0.347480,0.296410,0.612292,0.149377,0.158171,0.242232,0.016181
1963,0.362736,0.169416,0.511236,0.263888,0.625135,0.116365,0.203667,0.210630,0.023367
1965,0.334764,0.169175,0.545455,0.254662,0.645363,0.088046,0.130201,0.204317,0.049174
1972,0.090436,0.070921,0.280000,0.206903,0.694027,0.105468,0.140484,0.147635,0.319174
1977,0.250110,0.112392,0.414873,0.232596,0.629108,0.103579,0.102902,0.195656,0.156721
1980,0.167598,0.107221,0.357027,0.207426,0.676588,0.072090,0.113194,0.135459,0.225042
1981,0.121058,0.083932,0.403846,0.243014,0.643645,0.079336,0.334120,0.240331,0.071232
1983,0.267773,0.147628,0.504202,0.251905,0.642202,0.098399,0.116223,0.222519,0.038834
1989,0.100063,0.065208,0.254609,0.219904,0.658015,0.069983,0.134848,0.129567,0.213192
1992,0.067961,0.052000,0.297561,0.296742,0.618294,0.181855,0.157288,0.331597,0.060690
1993,0.121563,0.070244,0.319130,0.208193,0.693544,0.078120,0.096114,0.130166,0.469335
2003,0.089757,0.053358,0.282700,0.238575,0.625149,0.092895,0.092118,0.159204,0.194018
2010,0.111105,0.087151,0.263374,0.282746,0.581253,0.124583,0.213909,0.267934,0.114605
2019,0.335238,0.179799,0.530015,0.231103,0.660899,0.098451,0.116763,0.170929,0.136201
2020,0.050683,0.032196,0.285246,0.258732,0.610060,0.204170,0.119526,0.242626,0.216201
2021,0.262045,0.129994,0.383178,0.325003,0.572462,0.188888,0.090208,0.415483,0.004347
2026,0.136800,0.082458,0.320298,0.229198,0.656029,0.082644,0.148839,0.146769,0.236690
203,0.103227,0.047708,0.308965,0.233485,0.660433,0.062675,0.142092,0.165237,0.308131
2033,0.092531,0.051407,0.290076,0.335694,0.631030,0.123770,0.087132,0.415238,0.011458
2035,0.123139,0.087479,0.335733,0.236050,0.674156,0.149474,0.137836,0.139189,0.120440
2041,0.236619,0.163051,0.341253,0.263859,0.613434,0.122906,0.169531,0.204862,0.180376
2042,0.267266,0.122569,0.527512,0.248874,0.624797,0.089958,0.169431,0.185568,0.035744
2044,0.106661,0.066661,0.314709,0.231504,0.671750,0.113243,0.087846,0.170606,0.224294
2048,0.171274,0.097461,0.353680,0.241748,0.655567,0.127792,0.119880,0.178530,0.195797
205,0.229988,0.126401,0.445407,0.242691,0.658863,0.112356,0.132230,0.185330,0.077827
2053,0.076257,0.020033,0.316514,0.240549,0.661172,0.035033,0.093308,0.258562,0.140294
2058,0.307169,0.172862,0.458874,0.226179,0.655770,0.057841,0.208281,0.209242,0.162643
2070,0.087325,0.055550,0.246546,0.203423,0.684094,0.051733,0.109100,0.119759,0.415518
2071,0.125006,0.065255,0.356269,0.244759,0.657212,0.069399,0.117427,0.164434,0.156137
2075,0.193593,0.087611,0.365141,0.210977,0.676050,0.082966,0.123390,0.132046,0.256262
2082,0.213293,0.121107,0.423729,0.318590,0.629426,0.171989,0.052975,0.347061,0.011546
2087,0.208527,0.129149,0.346683,0.242397,0.661526,0.138031,0.130875,0.156201,0.094435
2092,0.114787,0.057978,0.175824,0.333511,0.576960,0.073823,0.167375,0.527331,0.074920
2095,0.228753,0.136016,0.445313,0.261514,0.614968,0.140698,0.202302,0.258932,0.032891
2106,0.110055,0.063054,0.363636,0.287515,0.605511,0.207109,0.161529,0.312332,0.056564
2115,0.080526,0.057468,0.295139,0.286683,0.623385,0.111434,0.076386,0.278820,0.090259
2118,0.151590,0.060916,0.446352,0.299231,0.639582,0.090962,0.122291,0.315581,0.005023
2125,0.196272,0.101510,0.463576,0.263525,0.649128,0.131460,0.127607,0.217333,0.108884
213,0.277701,0.135599,0.612676,0.265373,0.641475,0.115493,0.107630,0.287524,0.011299
2131,0.249359,0.129044,0.468019,0.227336,0.659794,0.083392,0.139176,0.163346,0.130951
2132,0.095479,0.069578,0.247756,0.199358,0.638116,0.088843,0.095383,0.103382,0.339481
2136,0.214562,0.111527,0.408482,0.251798,0.661787,0.075307,0.108528,0.228846,0.182120
2140,0.157119,0.087970,0.463415,0.255828,0.638291,0.121995,0.129939,0.231599,0.047159
2146,0.486407,0.207377,0.686813,0.253051,0.673336,0.067346,0.049723,0.244888,0.017531
2147,0.072114,0.010617,0.229008,0.178462,0.639607,0.043128,0.120653,0.084521,0.678394
2148,0.315740,0.169189,0.465882,0.254361,0.670131,0.076577,0.109989,0.197218,0.030770
215,0.313221,0.184542,0.475655,0.257214,0.655021,0.180377,0.107811,0.206081,0.031978
2151,0.079898,0.042974,0.272530,0.199869,0.654267,0.058556,0.147590,0.122074,0.556668
2156,0.214956,0.111364,0.460076,0.268983,0.631586,0.101974,0.195947,0.231619,0.044771
2157,0.116171,0.075536,0.293893,0.193569,0.682218,0.079234,0.128995,0.101616,0.369807
2161,0.201543,0.124044,0.398524,0.330354,0.590394,0.144648,0.108021,0.356843,0.008716
2163,0.354945,0.203288,0.479643,0.217399,0.677499,0.096980,0.123945,0.158424,0.174989
2165,0.154837,0.094005,0.343387,0.252520,0.641814,0.081112,0.125456,0.178243,0.107499
2174,0.312060,0.196018,0.484742,0.243217,0.677896,0.132542,0.096438,0.289389,0.141185
2175,0.120037,0.070412,0.318560,0.221824,0.679948,0.221494,0.144206,0.167967,0.284284
2178,0.587092,0.206362,0.808219,0.242458,0.671476,0.051032,0.036314,0.256689,0.004518
2180,0.213939,0.097473,0.475000,0.296580,0.643655,0.151244,0.076935,0.350394,0.007152
2182,0.353945,0.158258,0.622378,0.268214,0.658406,0.097592,0.131378,0.296243,0.007427
2192,0.270457,0.157981,0.442284,0.218525,0.681066,0.131412,0.127419,0.143930,0.112682
2197,0.112961,0.087245,0.319767,0.308970,0.645796,0.204302,0.114461,0.377616,0.009488
2207,0.102913,0.069507,0.251381,0.196589,0.675839,0.079581,0.147579,0.113955,0.478242
2210,0.094219,0.062439,0.228606,0.195614,0.703679,0.045983,0.120209,0.102950,0.384219
2213,0.135403,0.087014,0.316547,0.315422,0.629001,0.089508,0.062281,0.366082,0.025288
2216,0.331889,0.158053,0.526163,0.249917,0.655047,0.072299,0.266314,0.211897,0.076435
2220,0.271953,0.159192,0.471366,0.276785,0.651361,0.154461,0.112317,0.244073,0.011042
2222,0.105145,0.072149,0.323752,0.254684,0.656020,0.143297,0.100752,0.171005,0.100636
2225,0.088484,0.077978,0.442308,0.278620,0.614131,0.041332,0.543463,0.371580,0.057880
2229,0.086265,0.066537,0.236196,0.216324,0.631709,0.040419,0.068014,0.157461,0.352262
2230,0.247003,0.152885,0.340388,0.243273,0.615577,0.098789,0.116672,0.182188,0.114998
2231,0.092103,0.063053,0.290727,0.231952,0.610144,0.071799,0.104273,0.172700,0.310097
2233,0.273098,0.114629,0.607735,0.264969,0.641466,0.078913,0.203965,0.301503,0.010347
2238,0.077590,0.049422,0.267456,0.213924,0.688894,0.088685,0.096054,0.149015,0.405888
224,0.561260,0.270005,0.715385,0.286181,0.604007,0.051759,0.183532,0.311100,0.005037
2242,0.176701,0.087027,0.403670,0.285052,0.637438,0.182584,0.090427,0.264424,0.021447
2245,0.209795,0.112925,0.387850,0.229279,0.649767,0.072244,0.100777,0.153997,0.147024
2252,0.197619,0.114686,0.383206,0.244458,0.651709,0.151945,0.188853,0.192716,0.110681
2253,0.316874,0.174959,0.494715,0.259222,0.645910,0.124985,0.174395,0.207477,0.044205
2258,0.209384,0.131403,0.388379,0.249789,0.628864,0.103250,0.144169,0.177207,0.080448
2259,0.367986,0.166667,0.569048,0.250067,0.667179,0.088767,0.112767,0.194177,0.019706
2263,0.151429,0.098517,0.320388,0.263399,0.642186,0.144449,0.124426,0.197527,0.072537
2265,0.163556,0.084715,0.361868,0.207492,0.685257,0.077343,0.148477,0.137460,0.324910
2269,0.110170,0.067979,0.311893,0.203692,0.668931,0.076701,0.075994,0.142079,0.341509
2271,0.164152,0.101804,0.364063,0.227389,0.645645,0.109978,0.163528,0.156991,0.203311
